,id,name,year_published,min_players,max_players,primary_publisher,mechanics,num_user_ratings,average_user_rating,rank,num_mechs
29,FyFr3Tn1DA,Blitz und Donner,2000,2.0,2.0,Kosmos,"[{'id': 'oeg6wN9Eoc', 'url': 'https://www.boardgameatlas.com/mechanic/oeg6wN9Eoc/undefined'}, {'id': 'WPytek5P8l', 'url': 'https://www.boardgameatlas.com/mechanic/WPytek5P8l/undefined'}, {'id': 'RwgEONzIzc', 'url': 'https://www.boardgameatlas.com/mechanic/RwgEONzIzc/undefined'}]",18,2.2777777777777772,9999999,3
30,i0lyRPVZEr,Dameo,2000,2.0,2.0,,[],0,0.0,9999999,0
31,oXoKYWZYb0,Aladdin's Dragons,2000,3.0,5.0,Rio Grande Games,[],10,3.0,9999999,0
32,omTyQh3GHz,Merchants of Amsterdam,2000,3.0,5.0,Rio Grande,"[{'id': '8PN2HE86wg', 'url': 'https://www.boardgameatlas.com/mechanic/8PN2HE86wg/undefined'}]",4,0.0,9999999,1
33,tY9VhRHbOI,Fairy Meat,2000,2.0,100.0,Kenzer and Company,"[{'id': 'yomuPpKFx4', 'url': 'https://www.boardgameatlas.com/mechanic/yomuPpKFx4/undefined'}]",2,0.0,9999999,1
34,M6Vu2s0Ig8,Vampire,2000,3.0,5.0,Rio Grande Games,[],0,0.0,9999999,0
35,7i5fmzi4vY,Gladius,2000,2.0,2.0,,[],0,0.0,9999999,0
36,yFxqG7BtIO,Ukraine '43,2000,2.0,4.0,GMT Games,[],1,0.0,9999999,0
37,iiQCbwb5C7,San Francisco,2000,3.0,5.0,,[],2,0.0,9999999,0
38,NrZjBQQ2dv,Turbo Taxi,2000,2.0,4.0,Rio Grande,"[{'id': '24FWssBC3o', 'url': 'https://www.boardgameatlas.com/mechanic/24FWssBC3o/undefined'}]",2,0.0,9999999,1
39,y5Ipofj898,Dwarves,2000,2.0,6.0,,[],0,0.0,9999999,0
40,rG8jKYdTmF,Vampire,2000,3.0,5.0,,[],1,0.0,9999999,0
41,bB3JHa6JX3,Chomp,2000,2.0,5.0,,[],4,0.0,9999999,0
42,N0NwVws2N3,Gother Than Thou,2000,3.0,5.0,Savant Garde Entertainment,"[{'id': 'ebJKldFVeS', 'url': 'https://www.boardgameatlas.com/mechanic/ebJKldFVeS/undefined'}]",1,0.0,9999999,1
43,Mk3BWou7MX,Fight!,2000,2.0,6.0,Cheapass Games,[],2,0.0,9999999,0
44,xA9s4nUjSy,1825 Unit 2,2000,2.0,4.0,,[],1,0.0,9999999,0
45,APN7tGplPO,The Reef,2000,2.0,4.0,Next Move Games,"[{'id': 'lA3KUtVFCy', 'url': 'https://www.boardgameatlas.com/mechanic/lA3KUtVFCy/undefined'}]",3,0.0,9999999,1
46,8q72GWn38t,Safari,2000,2.0,4.0,,[],1,0.0,9999999,0
47,EeossIVcJf,Keytown,2000,2.0,5.0,,[],1,0.0,9999999,0
48,7uHeT2Y4vb,90 Grad,2000,2.0,2.0,,[],0,0.0,9999999,0
49,79Q3Iw0jds,Ronin of the Reach,2000,2.0,6.0,,"[{'id': 'BGrhzIN69D', 'url': 'https://www.boardgameatlas.com/mechanic/BGrhzIN69D/undefined'}]",0,0.0,9999999,1
50,sfP40YQYo0,The Mission,2000,2.0,2.0,,[],0,0.0,9999999,0
51,9UAIXY90SI,Numero,2000,1.0,3.0,,[],0,0.0,9999999,0
